254170
304, 304
(113.5, 0.25), (113.5, 1780.25)
(113.5, 1780.25), (114.25, 1780.25)
(114.25, 1780.25), (114.25, 1779.75)
(114.25, 1779.75), (113.75, 1779.75)
(113.75, 1779.75), (113.75, 0.25)
(113.75, 0.25), (212.5, 0.25)
(212.5, 0.25), (212.5, 2955.25)
(212.5, 2955.25), (213.25, 2955.25)
(213.25, 2955.25), (213.25, 2954.75)
(213.25, 2954.75), (212.75, 2954.75)
(212.75, 2954.75), (212.75, 0.25)
(212.75, 0.25), (263.5, 0.25)
(263.5, 0.25), (263.5, 4372.25)
(263.5, 4372.25), (264.25, 4372.25)
(264.25, 4372.25), (264.25, 4371.75)
(264.25, 4371.75), (263.75, 4371.75)
(263.75, 4371.75), (263.75, 0.25)
(263.75, 0.25), (337.5, 0.25)
(337.5, 0.25), (337.5, 1194.25)
(337.5, 1194.25), (338.25, 1194.25)
(338.25, 1194.25), (338.25, 1193.75)
(338.25, 1193.75), (337.75, 1193.75)
(337.75, 1193.75), (337.75, 0.25)
(337.75, 0.25), (432.5, 0.25)
(432.5, 0.25), (432.5, 6069.25)
(432.5, 6069.25), (433.25, 6069.25)
(433.25, 6069.25), (433.25, 6068.75)
(433.25, 6068.75), (432.75, 6068.75)
(432.75, 6068.75), (432.75, 0.25)
(432.75, 0.25), (600.5, 0.25)
(600.5, 0.25), (600.5, 9974.25)
(600.5, 9974.25), (601.25, 9974.25)
(601.25, 9974.25), (601.25, 9973.75)
(601.25, 9973.75), (600.75, 9973.75)
(600.75, 9973.75), (600.75, 0.25)
(600.75, 0.25), (848.5, 0.25)
(848.5, 0.25), (848.5, 8031.25)
(848.5, 8031.25), (849.25, 8031.25)
(849.25, 8031.25), (849.25, 8030.75)
(849.25, 8030.75), (848.75, 8030.75)
(848.75, 8030.75), (848.75, 0.25)
(848.75, 0.25), (968.5, 0.25)
(968.5, 0.25), (968.5, 2695.25)
(968.5, 2695.25), (969.25, 2695.25)
(969.25, 2695.25), (969.25, 2694.75)
(969.25, 2694.75), (968.75, 2694.75)
(968.75, 2694.75), (968.75, 0.25)
(968.75, 0.25), (1220.5, 0.25)
(1220.5, 0.25), (1220.5, 9499.25)
(1220.5, 9499.25), (1221.25, 9499.25)
(1221.25, 9499.25), (1221.25, 9498.75)
(1221.25, 9498.75), (1220.75, 9498.75)
(1220.75, 9498.75), (1220.75, 0.25)
(1220.75, 0.25), (1597.5, 0.25)
(1597.5, 0.25), (1597.5, 8394.25)
(1597.5, 8394.25), (1598.25, 8394.25)
(1598.25, 8394.25), (1598.25, 8393.75)
(1598.25, 8393.75), (1597.75, 8393.75)
(1597.75, 8393.75), (1597.75, 0.25)
(1597.75, 0.25), (1642.5, 0.25)
(1642.5, 0.25), (1642.5, 4778.25)
(1642.5, 4778.25), (1643.25, 4778.25)
(1643.25, 4778.25), (1643.25, 4777.75)
(1643.25, 4777.75), (1642.75, 4777.75)
(1642.75, 4777.75), (1642.75, 0.25)
(1642.75, 0.25), (1661.5, 0.25)
(1661.5, 0.25), (1661.5, 539.25)
(1661.5, 539.25), (1662.25, 539.25)
(1662.25, 539.25), (1662.25, 538.75)
(1662.25, 538.75), (1661.75, 538.75)
(1661.75, 538.75), (1661.75, 0.25)
(1661.75, 0.25), (1789.5, 0.25)
(1789.5, 0.25), (1789.5, 8266.25)
(1789.5, 8266.25), (1790.25, 8266.25)
(1790.25, 8266.25), (1790.25, 8265.75)
(1790.25, 8265.75), (1789.75, 8265.75)
(1789.75, 8265.75), (1789.75, 0.25)
(1789.75, 0.25), (2024.5, 0.25)
(2024.5, 0.25), (2024.5, 9247.25)
(2024.5, 9247.25), (2025.25, 9247.25)
(2025.25, 9247.25), (2025.25, 9246.75)
(2025.25, 9246.75), (2024.75, 9246.75)
(2024.75, 9246.75), (2024.75, 0.25)
(2024.75, 0.25), (2069.5, 0.25)
(2069.5, 0.25), (2069.5, 7138.25)
(2069.5, 7138.25), (2070.25, 7138.25)
(2070.25, 7138.25), (2070.25, 7137.75)
(2070.25, 7137.75), (2069.75, 7137.75)
(2069.75, 7137.75), (2069.75, 0.25)
(2069.75, 0.25), (2097.5, 0.25)
(2097.5, 0.25), (2097.5, 5074.25)
(2097.5, 5074.25), (2098.25, 5074.25)
(2098.25, 5074.25), (2098.25, 5073.75)
(2098.25, 5073.75), (2097.75, 5073.75)
(2097.75, 5073.75), (2097.75, 0.25)
(2097.75, 0.25), (2507.5, 0.25)
(2507.5, 0.25), (2507.5, 269.25)
(2507.5, 269.25), (2508.25, 269.25)
(2508.25, 269.25), (2508.25, 268.75)
(2508.25, 268.75), (2507.75, 268.75)
(2507.75, 268.75), (2507.75, 0.25)
(2507.75, 0.25), (3030.5, 0.25)
(3030.5, 0.25), (3030.5, 5485.25)
(3030.5, 5485.25), (3031.25, 5485.25)
(3031.25, 5485.25), (3031.25, 5484.75)
(3031.25, 5484.75), (3030.75, 5484.75)
(3030.75, 5484.75), (3030.75, 0.25)
(3030.75, 0.25), (3538.5, 0.25)
(3538.5, 0.25), (3538.5, 1785.25)
(3538.5, 1785.25), (3539.25, 1785.25)
(3539.25, 1785.25), (3539.25, 1784.75)
(3539.25, 1784.75), (3538.75, 1784.75)
(3538.75, 1784.75), (3538.75, 0.25)
(3538.75, 0.25), (3956.5, 0.25)
(3956.5, 0.25), (3956.5, 967.25)
(3956.5, 967.25), (3957.25, 967.25)
(3957.25, 967.25), (3957.25, 966.75)
(3957.25, 966.75), (3956.75, 966.75)
(3956.75, 966.75), (3956.75, 0.25)
(3956.75, 0.25), (4225.5, 0.25)
(4225.5, 0.25), (4225.5, 2696.25)
(4225.5, 2696.25), (4226.25, 2696.25)
(4226.25, 2696.25), (4226.25, 2695.75)
(4226.25, 2695.75), (4225.75, 2695.75)
(4225.75, 2695.75), (4225.75, 0.25)
(4225.75, 0.25), (4367.5, 0.25)
(4367.5, 0.25), (4367.5, 2272.25)
(4367.5, 2272.25), (4368.25, 2272.25)
(4368.25, 2272.25), (4368.25, 2271.75)
(4368.25, 2271.75), (4367.75, 2271.75)
(4367.75, 2271.75), (4367.75, 0.25)
